Month,Year,Rainfall,WPI
1,2020,6.8,169.5
2,2020,4.6,169.5
3,2020,8.2,169.5
4,2020,12.1,169.5
5,2020,28.3,169.5
6,2020,129.3,169.5
7,2020,244.4,189.4
8,2020,219.6,189.4
9,2020,127.9,189.4
10,2020,95.5,189.4
11,2020,23.9,189.4
12,2020,5.5,189.4
1,2021,7.6,189.4
2,2021,7.6,196.3
3,2021,266.2,196.3
4,2021,182.9,196.3
5,2021,266.1,196.3
6,2021,182.9,196.3
7,2021,266.1,196.3
8,2021,195.9,196.3
9,2021,229.7,196.3
10,2021,100.7,196.3
11,2021,56.5,199.8
12,2021,20.5,199.8
1,2022,6.8,199.8
2,2022,4.6,199.8
3,2022,8.2,199.8
4,2022,12.1,199.8
5,2022,28.3,199.8
6,2022,129.3,199.8
7,2022,244.4,199.8
8,2022,219.6,199.8
9,2022,127.9,199.8
10,2022,95.5,210.1
11,2022,23.9,210.1
12,2022,5.5,210.1
1,2023,14.8,210.1
2,2023,7.2,210.1
3,2023,37.6,210.1
4,2023,41.4,210.1
5,2023,67.6,210.1
6,2023,148.6,210.1
7,2023,280.5,210.1
8,2023,254.9,210.1
9,2023,167.9,210.1
10,2023,50.8,217.0
11,2023,34.2,217.0
12,2023,25.4,217.0
1,2024,7.2,217.0
2,2024,19.6,217.0
3,2024,28.5,217.0
4,2024,31.4,217.0
5,2024,66.0,217.0
6,2024,147.2,217.0
7,2024,306.6,217.0
8,2024,295.2,217.0
9,2024,187.3,217.0
10,2024,75.7,234.2
11,2024,13.6,234.2
12,2024,28.1,234.2
