Month,Year,Rainfall ,WPI
1,2020,6.8,168.7
2,2020,4.6,167.3
3,2020,8.2,162.9
4,2020,12.1,161.2
5,2020,28.3,161.5
6,2020,129.3,158.5
7,2020,244.4,157.3
8,2020,219.6,154.2
9,2020,127.9,150
10,2020,95.5,147.4
11,2020,23.9,147.9
12,2020,5.5,147.3
1,2021,7.6,149.1
2,2021,7.6,149.6
3,2021,266.2,150.3
4,2021,182.9,156.1
5,2021,266.1,157.4
6,2021,182.9,155.7
7,2021,266.1,152.8
8,2021,195.9,153.9
9,2021,229.7,156.6
10,2021,100.7,159.4
11,2021,56.5,162.9
12,2021,20.5,164.1
1,2022,6.8,164.6
2,2022,4.6,166.1
3,2022,8.2,171.4
4,2022,12.1,173.3
5,2022,28.3,174.1
6,2022,129.3,171.8
7,2022,244.4,173.6
8,2022,219.6,180.6
9,2022,127.9,181.8
10,2022,95.5,185.3
11,2022,23.9,192.4
12,2022,5.5,198.2
1,2023,14.8,203.9
2,2023,7.2,196.8
3,2023,37.6,187.1
4,2023,41.4,186.4
5,2023,67.6,184.9
6,2023,148.6,187.3
7,2023,280.5,187.1
8,2023,254.9,188.3
9,2023,167.9,190.7
10,2023,50.8,194.0
11,2023,34.2,197.6
12,2023,25.4,200.5
1,2024,7.2,200.1
2,2024,19.6,201.5
3,2024,28.5,201.1
4,2024,31.4,197.0
5,2024,66.0,196.5
6,2024,147.2,199.0
7,2024,306.6,200.2
8,2024,295.2,202.2
9,2024,187.3,205.4
10,2024,75.7,209.6
11,2024,13.6,213.8
12,2024,28.1,215.5
